ID,ConditionFull,ChartNumber,TitleType,ChartType,Condition,ImageFileName,Title,TheContext,Question1Text,Q1OptionA,Q1OptionB,Q1OptionC,Q1OptionD,Q1CorrectAnswer,Question2Text,Q2OptionA,Q2OptionB,Q2OptionC,Q2OptionD,Q2CorrectAnswer,Question3Text,Q3OptionA,Q3OptionB,Q3OptionC,Q3OptionD,Q3CorrectAnswer,Order,V1,V2,V3,V4
11,Chart 3MC,Chart 3,message,complex,MC,images/imageChart3MC.PNG,יכולות מתמטיות היא המיומנות עם הפער הגדול ביותר בין כלל המועסקים והמנהלים הבכירים,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על הצורך במיומנויות של מועסקים בעלי השכלה אקדמית, איזו מיומנות דורגה עם הצורך הנמוך ביותר, שיש בה את הפער הגדול ביותר בין כלל המועסקים למנהלים בכירים?  ",ידע מקצועי,מיומנויות טכנולוגיות,מיומנויות למידה,יכולות מתמטיות,D,איזו מיומנות דורגה עם הצורך הגבוה ביותר עבור כלל המועסקים? ,מיומנויות למידה,יכולות מתמטיות,ידע מקצועי,מיומנויות טכנולוגיות,C,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,3,1,,,
12,Chart 3MS,Chart 3,message,simple,MS,images/imageChart3MS.PNG,המיומנות עם הצורך הנמוך ביותר של מועסקים אקדמאיים היא יכולות מתמטיות,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על הצורך במיומנויות של עובדים בשוק העבודה, איזה מיומנות היא עם הצורך הנמוך ביותר? ",ידע מקצועי,מיומנויות טכנולוגיות,מיומנויות למידה,יכולות מתמטיות,D,איזו מיומנות דורגה עם הצורך הגבוה ביותר? ,מיומנויות למידה,יכולות מתמטיות,ידע מקצועי,מיומנויות טכנולוגיות,C,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,3,,1,,
13,Chart 4DC,Chart 4,descriptive,complex,DC,images/imageChart4DC.PNG,שביעות רצון מהאיזון בין העבודה לתחומי חיים אחרים בין השנים 2022 - 2016 ,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים, עבור איזו קבוצה שביעות הרצון היא הגבוהה ביותר, וכן קיים אצלה פער קטן ביותר בין 2016 ל -2022? ",יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,A,עבור איזו קבוצה שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים היא הנמוכה ביותר בשנת 2022? ,יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,C,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,4,,1,,
14,Chart 4DS,Chart 4,descriptive,simple,DS,images/imageChart4DS.PNG,שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים בשנת 2022,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים, עבור איזו קבוצה שביעות הרצון היא הגבוהה ביותר? ",יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,A,עבור איזו קבוצה שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים היא הנמוכה ביותר? ,יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,C,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,4,,,1,
15,Chart 4MC,Chart 4,message,complex,MC,images/imageChart4MC.PNG,השינוי הקטן ביותר משנת 2016 ל-2022 בשביעות רצון מהאיזון בין העבודה לתחומי חיים אחרים היא בקרב יהודים לחרדים,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים, עבור איזו קבוצה שביעות הרצון היא הגבוהה ביותר, וכן קיים אצלה פער קטן ביותר בין 2016 ל -2022? ",יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,A,עבור איזו קבוצה שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים היא הנמוכה ביותר בשנת 2022? ,יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,C,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,4,,,,1
16,Chart 4MS,Chart 4,message,simple,MS,images/imageChart4MS.PNG,שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים היא הגבוהה ביותר בקרב חרדים,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים, עבור איזו קבוצה שביעות הרצון היא הגבוהה ביותר? ",יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,A,עבור איזו קבוצה שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים היא הנמוכה ביותר? ,יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,C,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,4,1,,,
17,Chart 5DC,Chart 5,descriptive,complex,DC,images/imageChart5DC.PNG,מספר הסטודנטים שלומדים לתואר ראשון באוניברסיטאות במקצועות נבחרים בשנת  2022 ובשנת 2016,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על מספר הסטודנטים הלומדים באוניברסיטאות בישראל לתואר ראשון, באיזה מקצוע הפער במספר הסטודנטים גדול ביותר בין 2016 ל 2022?",משפטים,פסיכולוגיה,מדעי המחשב,כלכלה,C,באיזה מקצוע למדו הכי פחות סטודנטים בשנת 2022 ? ,פסיכולוגיה,מדעי המדינה,משפטים,מדעי המחשב,B,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,5,1,,,
18,Chart 5DS,Chart 5,descriptive,simple,DS,images/imageChart5DS.PNG,מספר הסטודנטים שלומדים לתואר ראשון באוניברסיטאות במקצועות נבחרים בשנת 2022,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחות Netflix ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על מספר הסטודנטים הלומדים באוניברסיטאות בישראל לתואר ראשון, באיזה מקצוע למדו הכי הרבה סטודנטים בשנת 2022?",משפטים,פסיכולוגיה,מדעי המחשב,כלכלה,C,באיזה מקצוע למדו הכי פחות סטודנטים בשנת 2022 ? ,פסיכולוגיה,מדעי המדינה,משפטים,מדעי המחשב,B,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,5,,1,,
19,Chart 5MC,Chart 5,message,complex,MC,images/imageChart5MC.PNG,מדעי המחשב הוא המקצוע עם הגידול הרב ביותר במספר  הסטודנטים לתואר ראשון בין 2016 ו-2022,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על מספר הסטודנטים הלומדים באוניברסיטאות בישראל לתואר ראשון, באיזה מקצוע הפער במספר הסטודנטים גדול ביותר בין 2016 ל 2022?",משפטים,פסיכולוגיה,מדעי המחשב,כלכלה,C,באיזה מקצוע למדו הכי פחות סטודנטים בשנת 2022 ? ,פסיכולוגיה,מדעי המדינה,משפטים,מדעי המחשב,B,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,5,,,1,
20,Chart 5MS,Chart 5,message,simple,MS,images/imageChart5MS.PNG,מדעי המחשב הוא המקצוע שבו לומדים הכי הרבה סטודנטים לתואר ראשון בשנת 2022,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על מספר הסטודנטים הלומדים באוניברסיטאות בישראל לתואר ראשון, באיזה מקצוע למדו הכי הרבה סטודנטים בשנת 2022?",משפטים,פסיכולוגיה,מדעי המחשב,כלכלה,C,באיזה מקצוע למדו הכי פחות סטודנטים בשנת 2022 ? ,פסיכולוגיה,מדעי המדינה,משפטים,מדעי המחשב,B,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,5,,,,1
21,Chart 6DC,Chart 6,descriptive,complex,DC,images/imageChart6MC.PNG,מספר עסקאות אקזיט של חברות הזנק לפי מחוז בשנת 2010 ו-2021,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על מספר עסקאות אקזיט של חברות הזנק, באיזה מחוז הפער במספר עסקאות האקזיט בין שנת 2010 לשנת 2021 הוא הגבוה ביותר? ",מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז מספר העסקאות הוא הנמוך ביותר בשנת 2021? ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,6,,,,1
22,Chart 6DS,Chart 6,descriptive,simple,DS,images/imageChart6MS.PNG,מספר עסקאות אקזיט של חברות הזנק לפי מחוז בשנת 2021,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על מספר עסקאות אקזיט שלחברות הזנק, באיזה מחוז מספר העסקאות הוא הגבוה ביותר בשנת 2021? ",מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז מספר העסקאות הוא הנמוך ביותר בשנת 2021? ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,6,1,,,
23,Chart 6MC,Chart 6,message,complex,MC,images/imageChart6DS.PNG,בירושלים והדרום היה את השינוי הקטן ביותר במספר העסקאות בין שנת 2010 לשנת 2021,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על מספר עסקאות אקזיט של חברות הזנק, באיזה מחוז הפער במספר עסקאות האקזיט בין שנת 2010 לשנת 2021 הוא הגבוה ביותר? ",מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז מספר העסקאות הוא הנמוך ביותר בשנת 2021? ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,6,,1,,
24,Chart 6MS,Chart 6,message,simple,MS,images/imageChart6DC.PNG,בחיפה היו הכי פחות עסקאות אקזיט בשנת 2021,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על מספר עסקאות אקזיט שלחברות הזנק, באיזה מחוז מספר העסקאות הוא הגבוה ביותר בשנת 2021? ",מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז מספר העסקאות הוא הנמוך ביותר בשנת 2021? ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,6,,,1,
25,Chart 7DC,Chart 7,descriptive,complex,DC,images/imageChart7MC.PNG,במחוז הדרום אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הגבוה ביותר,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז הפער בין אחוז התושבים היהודים והערבים שאינם מצליחים לכסות את ההוצאות שלהם הוא הנמוך ביותר? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,7,,,1,
26,Chart 7DS,Chart 7,descriptive,simple,DS,images/imageChart7MS.PNG,אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחות Netflix ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הנמוך ביותר? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,7,,,,1
27,Chart 7MC,Chart 7,message,complex,MC,images/imageChart7DS.PNG,במחוז הצפון הפער בין אחוז התושבים היהודים והערבים שלא מצליחים לכסות את ההוצאות שלהם הוא הנמוך ביותר,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז הפער בין אחוז התושבים היהודים והערבים שאינם מצליחים לכסות את ההוצאות שלהם הוא הנמוך ביותר? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,7,1,,,
28,Chart 7MS,Chart 7,message,simple,MS,images/imageChart7DC.PNG,במחוז הדרום אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הגבוה ביותר,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הנמוך ביותר? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,7,,1,,
29,Chart 8DC,Chart 8,descriptive,complex,DC,images/imageChart8MC.PNG,היקף השימוש ברשתות חברתיות בקרב גילאי 18-22 וגילאי 60 ומעלה,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה רשת חברתית קיים הפער הכי גדול בהיקף השימוש בין בני 60 ומעלה ובין קבוצת הגיל 18-22?,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזו רשת  חברתית היקף השימוש לבני 60 ומעלה הוא הגבוה ביותר בשנת 2024? ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,8,,1,,
30,Chart 8DS,Chart 8,descriptive,simple,DS,images/imageChart8MS.PNG,היקף השימוש ברשתות חברתיות באוכלוסייה מעל גיל  60 בשנת 2024,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה רשת חברתית היקף השימוש הוא הנמוך ביותר עבור בני 60+? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזו רשת  חברתית היקף השימוש לבני 60 ומעלה הוא הגבוה ביותר בשנת 2024? ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,8,,,1,
31,Chart 8MC,Chart 8,message,complex,MC,images/imageChart8DS.PNG,הפער הגדול ביותר בהיקף השימוש ברשתות חברתיות בין כלל הבוגרים לבני 18-22 הוא בטיקטוק,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה רשת חברתית קיים הפער הכי גדול בהיקף השימוש בין בני 60 ומעלה ובין קבוצת הגיל 18-22?,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזו רשת  חברתית היקף השימוש לבני 60 ומעלה הוא הגבוה ביותר בשנת 2024? ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,8,,,,1
